margin_h,dpo_grad_abs,ipo_grad_abs
-2.0000,0.880797,5.000000
-1.9000,0.869892,4.800000
-1.8000,0.858149,4.600000
-1.7000,0.845535,4.400000
-1.6000,0.832018,4.200000
-1.5000,0.817575,4.000000
-1.4000,0.802184,3.800000
-1.3000,0.785835,3.600000
-1.2000,0.768525,3.400000
-1.1000,0.750260,3.200000
-1.0000,0.731059,3.000000
-0.9000,0.710950,2.800000
-0.8000,0.689974,2.600000
-0.7000,0.668188,2.400000
-0.6000,0.645656,2.200000
-0.5000,0.622459,2.000000
-0.4000,0.598688,1.800000
-0.3000,0.574443,1.600000
-0.2000,0.549834,1.400000
-0.1000,0.524979,1.200000
0.0000,0.500000,1.000000
0.1000,0.475021,0.800000
0.2000,0.450166,0.600000
0.3000,0.425557,0.400000
0.4000,0.401312,0.200000
0.5000,0.377541,0.000000
0.6000,0.354344,0.200000
0.7000,0.331812,0.400000
0.8000,0.310026,0.600000
0.9000,0.289050,0.800000
1.0000,0.268941,1.000000
1.1000,0.249740,1.200000
1.2000,0.231475,1.400000
1.3000,0.214165,1.600000
1.4000,0.197816,1.800000
1.5000,0.182426,2.000000
1.6000,0.167982,2.200000
1.7000,0.154465,2.400000
1.8000,0.141851,2.600000
1.9000,0.130108,2.800000
2.0000,0.119203,3.000000
2.1000,0.109097,3.200000
2.2000,0.099750,3.400000
2.3000,0.091123,3.600000
2.4000,0.083173,3.800000
2.5000,0.075858,4.000000
2.6000,0.069138,4.200000
2.7000,0.062973,4.400000
2.8000,0.057324,4.600000
2.9000,0.052154,4.800000
3.0000,0.047426,5.000000
3.1000,0.043107,5.200000
3.2000,0.039166,5.400000
3.3000,0.035571,5.600000
3.4000,0.032295,5.800000
3.5000,0.029312,6.000000
3.6000,0.026597,6.200000
3.7000,0.024127,6.400000
3.8000,0.021881,6.600000
3.9000,0.019840,6.800000
4.0000,0.017986,7.000000
4.1000,0.016302,7.200000
4.2000,0.014774,7.400000
4.3000,0.013387,7.599999
4.4000,0.012128,7.800000
4.5000,0.010987,8.000000
4.6000,0.009952,8.200000
4.7000,0.009013,8.400000
4.8000,0.008163,8.600000
4.9000,0.007392,8.800000
5.0000,0.006693,9.000000
5.1000,0.006060,9.200000
5.2000,0.005486,9.400000
5.3000,0.004967,9.600000
5.4000,0.004496,9.800000
5.5000,0.004070,10.000000
5.6000,0.003684,10.200000
5.7000,0.003335,10.400000
5.8000,0.003018,10.600000
5.9000,0.002732,10.800000
6.0000,0.002473,11.000000
6.1000,0.002238,11.200000
6.2000,0.002025,11.400000
6.3000,0.001833,11.600000
6.4000,0.001659,11.800000
6.5000,0.001501,12.000000
6.6000,0.001359,12.200000
6.7000,0.001229,12.400000
6.8000,0.001113,12.600000
6.9000,0.001007,12.800000
7.0000,0.000911,13.000000
7.1000,0.000824,13.200000
7.2000,0.000746,13.400000
7.3000,0.000675,13.600000
7.4000,0.000611,13.800000
7.5000,0.000553,14.000000
7.6000,0.000500,14.200000
7.7000,0.000453,14.400000
7.8000,0.000410,14.600000
7.9000,0.000371,14.800000
8.0000,0.000335,15.000000
